2014-03-20 07:36:55 status unpacked imagemagick-common 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:36:55 status unpacked imagemagick-common 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:36:56 install libmagickcore4 <none> 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:36:56 status half-installed libmagickcore4 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:36:57 status unpacked libmagickcore4 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:36:58 status unpacked libmagickcore4 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:36:59 install libmagickwand4 <none> 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:36:59 status half-installed libmagickwand4 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:00 status unpacked libmagickwand4 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:00 status unpacked libmagickwand4 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:01 install imagemagick <none> 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:01 status half-installed imagemagick 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:01 status half-installed imagemagick 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:02 status unpacked imagemagick 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:02 status unpacked imagemagick 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:03 install libcdt4 <none> 2.26.3-10ubuntu1.1
2014-03-20 07:37:03 status half-installed libcdt4 2.26.3-10ubuntu1.1
2014-03-20 07:37:03 status unpacked libcdt4 2.26.3-10ubuntu1.1
2014-03-20 07:37:03 status unpacked libcdt4 2.26.3-10ubuntu1.1
2014-03-20 07:37:04 install libdjvulibre-text <none> 3.5.24-9ubuntu0.1
2014-03-20 07:37:04 status half-installed libdjvulibre-text 3.5.24-9ubuntu0.1
2014-03-20 07:37:05 status unpacked libdjvulibre-text 3.5.24-9ubuntu0.1
2014-03-20 07:37:05 status unpacked libdjvulibre-text 3.5.24-9ubuntu0.1
2014-03-20 07:37:06 install libdjvulibre21 <none> 3.5.24-9ubuntu0.1
2014-03-20 07:37:06 status half-installed libdjvulibre21 3.5.24-9ubuntu0.1
2014-03-20 07:37:07 status unpacked libdjvulibre21 3.5.24-9ubuntu0.1
2014-03-20 07:37:07 status unpacked libdjvulibre21 3.5.24-9ubuntu0.1
2014-03-20 07:37:08 install libgraph4 <none> 2.26.3-10ubuntu1.1
2014-03-20 07:37:08 status half-installed libgraph4 2.26.3-10ubuntu1.1
2014-03-20 07:37:08 status unpacked libgraph4 2.26.3-10ubuntu1.1
2014-03-20 07:37:08 status unpacked libgraph4 2.26.3-10ubuntu1.1
2014-03-20 07:37:09 install libpathplan4 <none> 2.26.3-10ubuntu1.1
2014-03-20 07:37:09 status half-installed libpathplan4 2.26.3-10ubuntu1.1
2014-03-20 07:37:10 status unpacked libpathplan4 2.26.3-10ubuntu1.1
2014-03-20 07:37:10 status unpacked libpathplan4 2.26.3-10ubuntu1.1
2014-03-20 07:37:11 install libgvc5 <none> 2.26.3-10ubuntu1.1
2014-03-20 07:37:11 status half-installed libgvc5 2.26.3-10ubuntu1.1
2014-03-20 07:37:11 status half-installed libgvc5 2.26.3-10ubuntu1.1
2014-03-20 07:37:12 status unpacked libgvc5 2.26.3-10ubuntu1.1
2014-03-20 07:37:12 status unpacked libgvc5 2.26.3-10ubuntu1.1
2014-03-20 07:37:13 install libilmbase6 <none> 1.0.1-3build2
2014-03-20 07:37:13 status half-installed libilmbase6 1.0.1-3build2
2014-03-20 07:37:14 status unpacked libilmbase6 1.0.1-3build2
2014-03-20 07:37:14 status unpacked libilmbase6 1.0.1-3build2
2014-03-20 07:37:15 install libopenexr6 <none> 1.6.1-4.1
2014-03-20 07:37:15 status half-installed libopenexr6 1.6.1-4.1
2014-03-20 07:37:15 status unpacked libopenexr6 1.6.1-4.1
2014-03-20 07:37:15 status unpacked libopenexr6 1.6.1-4.1
2014-03-20 07:37:16 install libmagickcore4-extra <none> 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:16 status half-installed libmagickcore4-extra 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:17 status unpacked libmagickcore4-extra 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:17 status unpacked libmagickcore4-extra 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:18 install libnetpbm10 <none> 2:10.0-15
2014-03-20 07:37:18 status half-installed libnetpbm10 2:10.0-15
2014-03-20 07:37:19 status unpacked libnetpbm10 2:10.0-15
2014-03-20 07:37:19 status unpacked libnetpbm10 2:10.0-15
2014-03-20 07:37:19 install netpbm <none> 2:10.0-15
2014-03-20 07:37:19 status half-installed netpbm 2:10.0-15
2014-03-20 07:37:19 status half-installed netpbm 2:10.0-15
2014-03-20 07:37:24 status unpacked netpbm 2:10.0-15
2014-03-20 07:37:24 status unpacked netpbm 2:10.0-15
2014-03-20 07:37:24 trigproc man-db 2.6.1-2ubuntu1 2.6.1-2ubuntu1
2014-03-20 07:37:24 status half-configured man-db 2.6.1-2ubuntu1
2014-03-20 07:37:30 status installed man-db 2.6.1-2ubuntu1
2014-03-20 07:37:31 startup packages configure
2014-03-20 07:37:31 configure libcroco3 0.6.5-1ubuntu0.1 <none>
2014-03-20 07:37:31 status unpacked libcroco3 0.6.5-1ubuntu0.1
2014-03-20 07:37:31 status half-configured libcroco3 0.6.5-1ubuntu0.1
2014-03-20 07:37:32 status installed libcroco3 0.6.5-1ubuntu0.1
2014-03-20 07:37:32 status triggers-pending libc-bin 2.15-0ubuntu10.5
2014-03-20 07:37:32 configure libdatrie1 0.2.5-3 <none>
2014-03-20 07:37:32 status unpacked libdatrie1 0.2.5-3
2014-03-20 07:37:33 status half-configured libdatrie1 0.2.5-3
2014-03-20 07:37:33 status installed libdatrie1 0.2.5-3
2014-03-20 07:37:33 configure libgdk-pixbuf2.0-common 2.26.1-1 <none>
2014-03-20 07:37:33 status unpacked libgdk-pixbuf2.0-common 2.26.1-1
2014-03-20 07:37:33 status half-configured libgdk-pixbuf2.0-common 2.26.1-1
2014-03-20 07:37:33 status installed libgdk-pixbuf2.0-common 2.26.1-1
2014-03-20 07:37:34 configure libgdk-pixbuf2.0-0 2.26.1-1 <none>
2014-03-20 07:37:34 status unpacked libgdk-pixbuf2.0-0 2.26.1-1
2014-03-20 07:37:34 status half-configured libgdk-pixbuf2.0-0 2.26.1-1
2014-03-20 07:37:35 status installed libgdk-pixbuf2.0-0 2.26.1-1
2014-03-20 07:37:36 configure liblcms1 1.19.dfsg-1ubuntu3 <none>
2014-03-20 07:37:36 status unpacked liblcms1 1.19.dfsg-1ubuntu3
2014-03-20 07:37:36 status half-configured liblcms1 1.19.dfsg-1ubuntu3
