级别	日期和时间	来源	事件 ID	任务类别
信息	2014/2/13 9:23:51	Microsoft-Windows-Servicing	3	无	将程序包 KB2919469 更改为 已暂存 状态失败。状态为: 0x800f0816。
信息	2014/2/13 9:23:48	Microsoft-Windows-Servicing	1	无	启动程序包 KB2919469 的更改。当前状态为 不存在。目标状态为 已暂存。客户端 ID: WindowsUpdateAgent。
信息	2014/2/13 9:15:14	Microsoft-Windows-WUSA	2	无	"已成功安装 Windows 更新 ""Windows 安全更新程序 (KB2912390)""。(命令行:“C:\Windows\system32\wusa.exe ""C:\Program Files\360\360safe\hotfix\Windows6.1-KB2912390-x86.msu"" /quiet /norestart”)"
信息	2014/2/13 9:15:14	Microsoft-Windows-Servicing	2	无	已将程序包 KB2912390 成功更改为 已安装 状态。
信息	2014/2/13 9:15:06	Microsoft-Windows-Servicing	1	无	启动程序包 KB2912390 的更改。当前状态为 已解析。目标状态为 已安装。客户端 ID: WindowsUpdateAgent。
信息	2014/2/13 9:14:46	Microsoft-Windows-Servicing	3	无	将程序包 KB2912390 更改为 已暂存 状态失败。状态为: 0x800f0816。
信息	2014/2/13 9:14:42	Microsoft-Windows-Servicing	1	无	启动程序包 KB2912390 的更改。当前状态为 不存在。目标状态为 已暂存。客户端 ID: WindowsUpdateAgent。
信息	2014/2/13 9:14:09	Microsoft-Windows-Servicing	3	无	将程序包 KB2843630 更改为 已暂存 状态失败。状态为: 0x800f0816。
信息	2014/2/13 9:13:54	Microsoft-Windows-Servicing	1	无	启动程序包 KB2843630 的更改。当前状态为 不存在。目标状态为 已暂存。客户端 ID: WindowsUpdateAgent。
信息	2014/2/12 9:00:35	Microsoft-Windows-Servicing	2	无	已将程序包 KB2916036 成功更改为 已安装 状态。
信息	2014/2/12 9:00:35	Microsoft-Windows-Servicing	2	无	已将程序包 KB2911501 成功更改为 已安装 状态。
信息	2014/2/12 9:00:35	Microsoft-Windows-Servicing	2	无	已将程序包 KB2909921 成功更改为 已安装 状态。
信息	2014/2/12 9:00:35	Microsoft-Windows-Servicing	2	无	已将程序包 KB2909210 成功更改为 已安装 状态。
信息	2014/2/12 9:00:35	Microsoft-Windows-Servicing	2	无	已将程序包 KB2901112 成功更改为 已安装 状态。
